row,col,proxy_class,spatial_block,partition,blue,green,red,nir08,swir16,swir22,NDVI,NDBI,MNDWI,BSI
285,39,3,40,development,0.061923757,0.09573501,0.107669994,0.24719125,0.21933375,0.1729275,0.39317128,-0.05971276,-0.3922913,0.028121721
395,33,1,50,development,0.07125999,0.109017506,0.12593,0.2307875,0.23183249,0.1903625,0.29395112,0.0022588489,-0.36031973,0.08444098
213,411,2,36,development,0.0769525,0.1105025,0.1334375,0.22372,0.27751,0.25691253,0.25278065,0.10731598,-0.43041784,0.15496333
357,111,3,51,development,0.05594249,0.09117,0.09306751,0.24692999,0.210245,0.141165,0.45254,-0.080242775,-0.39505333,0.0007259027
10,558,5,8,development,0.043567494,0.067767486,0.08146249,0.21657,0.17892249,0.116112486,0.4533315,-0.09519148,-0.4505858,0.00047544244
184,285,5,24,development,0.08256249,0.12631501,0.1426775,0.30448753,0.2889775,0.21503,0.36185753,-0.026134687,-0.39168173,0.05448233
474,164,1,72,development,0.069005,0.098402485,0.105965,0.20502,0.18280001,0.15719749,0.31852016,-0.057294585,-0.30013078,0.026190976
473,42,1,70,development,0.07856125,0.11937125,0.1337125,0.2345825,0.24287376,0.19440499,0.2738837,0.017365484,-0.3409364,0.09198169
514,138,2,72,development,0.098801255,0.14436875,0.1769425,0.25901628,0.3158863,0.26409,0.1882604,0.09892114,-0.3726576,0.15871608
317,415,4,46,development,0.020439997,0.0366375,0.030587494,0.20204999,0.10351749,0.05753751,0.73703724,-0.3224574,-0.47718593,-0.24785823
635,551,1,98,development,0.090977505,0.13316251,0.15730749,0.226965,0.2609825,0.23087,0.18127112,0.06971552,-0.3242969,0.13629867
76,362,4,15,development,0.032649994,0.055557504,0.058142498,0.23128249,0.1559325,0.09983249,0.5982206,-0.19459471,-0.4746087,-0.1043027
3,540,5,8,development,0.042109996,0.07027,0.082576245,0.21229374,0.1864575,0.116964996,0.43991423,-0.06479289,-0.45257127,0.02794983
