radius_m,w_lower,w_upper,component_id,component_name,rank,top3
500,0.7011070110701106,0.7017543859649119,139-008,Kalawan,4,False
500,0.7011070110701106,0.7017543859649119,139-009,Giri complex,1,True
500,0.7011070110701106,0.7017543859649119,139-010,Kunala,10,False
500,0.7011070110701106,0.7017543859649119,139-011,Jandial,17,False
500,0.7011070110701106,0.7017543859649119,139-012,Lalchak / Badalpur,15,False
500,0.7011070110701106,0.7017543859649119,139-013,Mohra Moradu,9,False
500,0.7011070110701106,0.7017543859649119,139-014,Pippala,12,False
500,0.7011070110701106,0.7017543859649119,139-015,Jaulian,2,True
500,0.7011070110701106,0.7017543859649119,139-016,Lalchak mounds,11,False
500,0.7011070110701106,0.7017543859649119,139-017,Bhallar,13,False
500,0.7011070110701106,0.7017543859649119,139-018,Giri Mosque / tombs,5,False
500,0.7017543859649119,0.7182320441988951,139-001,Khanpur Cave,14,False
500,0.7017543859649119,0.7182320441988951,139-003,Bhir Mound,16,False
500,0.7017543859649119,0.7182320441988951,139-004,Sirkap,6,False
500,0.7017543859649119,0.7182320441988951,139-005,Sirsukh,7,False
500,0.7017543859649119,0.7182320441988951,139-006,Dharmarajika,3,True
500,0.7017543859649119,0.7182320441988951,139-007,Khader Mohra,8,False
500,0.7017543859649119,0.7182320441988951,139-008,Kalawan,4,False
500,0.7017543859649119,0.7182320441988951,139-009,Giri complex,1,True
500,0.7017543859649119,0.7182320441988951,139-010,Kunala,10,False
500,0.7017543859649119,0.7182320441988951,139-011,Jandial,17,False
500,0.7017543859649119,0.7182320441988951,139-012,Lalchak / Badalpur,15,False
500,0.7017543859649119,0.7182320441988951,139-013,Mohra Moradu,9,False
500,0.7017543859649119,0.7182320441988951,139-014,Pippala,12,False
500,0.7017543859649119,0.7182320441988951,139-015,Jaulian,2,True
500,0.7017543859649119,0.7182320441988951,139-016,Lalchak mounds,11,False
500,0.7017543859649119,0.7182320441988951,139-017,Bhallar,13,False
500,0.7017543859649119,0.7182320441988951,139-018,Giri Mosque / tombs,5,False
500,0.7182320441988951,0.72992700729927,139-001,Khanpur Cave,15,False
500,0.7182320441988951,0.72992700729927,139-003,Bhir Mound,16,False
500,0.7182320441988951,0.72992700729927,139-004,Sirkap,6,False
500,0.7182320441988951,0.72992700729927,139-005,Sirsukh,7,False
500,0.7182320441988951,0.72992700729927,139-006,Dharmarajika,3,True
500,0.7182320441988951,0.72992700729927,139-007,Khader Mohra,8,False
