component_id,component_name,radius_m,metric,theil_sen_slope_per_year,slope_low_95,slope_high_95,spearman_rho_year,n_epochs,interpretation
139-012,Lalchak and Badalpur Buddhist stuppa,500,ndbi_median,-0.00420151799917221,-0.005967098474502564,0.0008704900741577148,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-012,Lalchak and Badalpur Buddhist stuppa,500,landscape_pressure_score,-0.0009558823529411771,-0.03529411764705883,0.05588235294117647,0.09999999999999999,5,descriptive_five_epoch_trajectory
139-012,Lalchak and Badalpur Buddhist stuppa,500,integrated_exposure_score,-0.0007815904139433573,-0.02312273057371096,0.03276325344952796,0.09999999999999999,5,descriptive_five_epoch_trajectory
139-013,Mohra Moradu stupa and monastery,500,ndvi_median,0.004512225091457368,-0.0007091581821441651,0.018164998292922972,0.8999999999999998,5,descriptive_five_epoch_trajectory
139-013,Mohra Moradu stupa and monastery,500,mndwi_median,-0.0005077078938484191,-0.004718279838562012,0.0014803647994995118,-0.3,5,descriptive_five_epoch_trajectory
139-013,Mohra Moradu stupa and monastery,500,ndbi_median,-0.003508528601378203,-0.008571378886699677,0.0006113536655902863,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-013,Mohra Moradu stupa and monastery,500,landscape_pressure_score,0.0023529411764705854,-0.027941176470588226,0.045,0.39999999999999997,5,descriptive_five_epoch_trajectory
139-013,Mohra Moradu stupa and monastery,500,integrated_exposure_score,0.0006889978213507619,-0.020671750181554094,0.029135802469135795,0.09999999999999999,5,descriptive_five_epoch_trajectory
139-014,Pippala stupa and monastery,500,ndvi_median,0.002528835833072662,-0.002330249547958374,0.006249046325683594,0.7,5,descriptive_five_epoch_trajectory
139-014,Pippala stupa and monastery,500,mndwi_median,0.001013202965259552,-0.0020098865032196047,0.0018967807292938233,0.7,5,descriptive_five_epoch_trajectory
139-014,Pippala stupa and monastery,500,ndbi_median,-0.0015950656495988369,-0.0067540092393755915,0.003132534585893154,-0.6,5,descriptive_five_epoch_trajectory
139-014,Pippala stupa and monastery,500,landscape_pressure_score,-0.012573529411764706,-0.045882352941176464,0.02058823529411764,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-014,Pippala stupa and monastery,500,integrated_exposure_score,-0.004605119825708062,-0.02665214233841685,0.020998547567175018,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-015,Jaulian stupa and monastery,500,ndvi_median,0.009620504081249238,0.0012972593307495118,0.020394456386566163,0.9999999999999999,5,descriptive_five_epoch_trajectory
139-015,Jaulian stupa and monastery,500,mndwi_median,-0.0007080793380737305,-0.002533411979675293,5.2988529205322266e-05,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-015,Jaulian stupa and monastery,500,ndbi_median,-0.006311826454475522,-0.012359356880187989,-0.0008656162768602371,-0.9999999999999999,5,descriptive_five_epoch_trajectory
139-015,Jaulian stupa and monastery,500,landscape_pressure_score,-0.008039215686274515,-0.011764705882352922,-0.00117647058823529,-0.9999999999999999,5,descriptive_five_epoch_trajectory
139-015,Jaulian stupa and monastery,500,integrated_exposure_score,-0.0030610021786492414,-0.015279593318808992,0.013743645606390697,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-016,Lalchak mounds,500,ndvi_median,0.003969267755746841,-0.009629344940185547,0.02322460412979126,0.6,5,descriptive_five_epoch_trajectory
139-016,Lalchak mounds,500,mndwi_median,-0.0006353497505187989,-0.0055411458015441895,0.00333290696144104,-0.3,5,descriptive_five_epoch_trajectory
139-016,Lalchak mounds,500,ndbi_median,-0.002374242680768172,-0.01678680181503296,0.00491914302110672,-0.49999999999999994,5,descriptive_five_epoch_trajectory
139-016,Lalchak mounds,500,landscape_pressure_score,-0.0041176470588235314,-0.0388235294117647,0.0611764705882353,0.0,5,descriptive_five_epoch_trajectory
139-016,Lalchak mounds,500,integrated_exposure_score,-0.002348402323892526,-0.024299201161946248,0.034527959331880895,0.0,5,descriptive_five_epoch_trajectory
139-017,Buddhist remains around Bhallar stupa,500,ndvi_median,0.002722536027431488,-0.00467900037765503,0.003462660312652588,0.7,5,descriptive_five_epoch_trajectory
139-017,Buddhist remains around Bhallar stupa,500,mndwi_median,0.0012620285153388975,-0.002606368064880371,0.001581394672393799,0.7,5,descriptive_five_epoch_trajectory
139-017,Buddhist remains around Bhallar stupa,500,ndbi_median,-0.0010512807096044222,-0.0038797140121459963,0.0024583693593740463,-0.6,5,descriptive_five_epoch_trajectory
139-017,Buddhist remains around Bhallar stupa,500,landscape_pressure_score,-0.008725490196078435,-0.027647058823529413,0.013529411764705878,-0.7999999999999999,5,descriptive_five_epoch_trajectory
139-017,Buddhist remains around Bhallar stupa,500,integrated_exposure_score,-0.0026062091503267935,-0.02057371096586782,0.01864560639070443,-0.8999999999999998,5,descriptive_five_epoch_trajectory
